DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;SG_UF;SG_UE;NM_UE;SQ_CANDIDATO;NR_ORDEM_BEM_CANDIDATO;CD_TIPO_BEM_CANDIDATO;DS_TIPO_BEM_CANDIDATO;DS_BEM_CANDIDATO;VR_BEM_CANDIDATO;DT_ULT_ATUAL_BEM_CANDIDATO;HH_ULT_ATUAL_BEM_CANDIDATO
18/07/2025;12:30:13;2024;2;Eleição Ordinária;619;Eleições Municipais 2024;06/10/2024;SP;71072;SÃO PAULO;250002173905;1;21;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Renault Clio 1.0 modelo 2011;25000,00;03/12/2024;10:24:16
18/07/2025;12:30:13;2024;2;Eleição Ordinária;619;Eleições Municipais 2024;06/10/2024;SP;71072;SÃO PAULO;250002173905;2;61;Depósito bancário em conta corrente no País;Banco do Brasil;574,71;03/12/2024;10:24:16
18/07/2025;12:30:13;2024;2;Eleição Ordinária;619;Eleições Municipais 2024;06/10/2024;SP;71072;SÃO PAULO;250002173905;3;12;Casa;Vila Carrão ¿ São Paulo ¿ SP;800000,00;03/12/2024;10:24:16
18/07/2025;12:30:13;2024;2;Eleição Ordinária;619;Eleições Municipais 2024;06/10/2024;SP;71072;SÃO PAULO;250002173905;4;11;Apartamento;"localizado no
bairro de Vila Antonina ¿ São Paulo.";450000,00;03/12/2024;10:24:16
18/07/2025;12:30:13;2024;2;Eleição Ordinária;619;Eleições Municipais 2024;06/10/2024;SP;71072;SÃO PAULO;250002173906;1;21;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Fiat Idea 2005/2006;20819,00;03/12/2024;10:24:12
18/07/2025;12:30:13;2024;2;Eleição Ordinária;619;Eleições Municipais 2024;06/10/2024;SP;71072;SÃO PAULO;250002173906;2;21;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Dafra Kansas 2013/2014;5648,00;03/12/2024;10:24:12
18/07/2025;12:30:13;2024;2;Eleição Ordinária;619;Eleições Municipais 2024;06/10/2024;SP;71072;SÃO PAULO;250002173906;3;61;Depósito bancário em conta corrente no País;Banco Inter;420,59;03/12/2024;10:24:12
18/07/2025;12:30:13;2024;2;Eleição Ordinária;619;Eleições Municipais 2024;06/10/2024;SP;71072;SÃO PAULO;250002173906;4;61;Depósito bancário em conta corrente no País;Banco BMG;2,00;03/12/2024;10:24:12
18/07/2025;12:30:13;2024;2;Eleição Ordinária;619;Eleições Municipais 2024;06/10/2024;SP;71072;SÃO PAULO;250002173906;5;61;Depósito bancário em conta corrente no País;Caixa Econômica Federal;0,00;03/12/2024;10:24:12
18/07/2025;12:30:13;2024;2;Eleição Ordinária;619;Eleições Municipais 2024;06/10/2024;SP;71072;SÃO PAULO;250002173906;6;61;Depósito bancário em conta corrente no País;ClaroPay;43,76;03/12/2024;10:24:12
