DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_CANDIDATO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DS_SIT_TOT_TURNO;SOMA_QT_VOTOS_NOMINAIS_VALIDOS
Vereador;250001973467;22022;LUCAS PAVANATO DE OLIVEIRA;22;PL;Partido Liberal;ELEITO POR QP;161386
Vereador;250001933068;20000;ANA CAROLINA CUNHA DE OLIVEIRA FRANCOMANO;20;PODE;Podemos;ELEITO POR QP;129563
Vereador;250002174669;11111;MURILLO DE OLIVEIRA LIMA;11;PP;PROGRESSISTAS;ELEITO POR QP;113820
Vereador;250002174684;11190;ISRAEL NANTES SANTOS;11;PP;PROGRESSISTAS;ELEITO POR QP;112484
Vereador;250002052119;50700;AMANDA MARQUES PASCHOAL;50;PSOL;Partido Socialismo e Liberdade;ELEITO POR QP;108654
Vereador;250001881809;44555;RUBENS ALBERTO GATTI NUNES;44;UNIÃO;União Brasil;ELEITO POR QP;101549
Vereador;250001913956;13131;LUNA ZARATTINI BRANDÃO;13;PT;Partido dos Trabalhadores;ELEITO POR QP;100921
Vereador;250002052116;50500;LUANA DOS SANTOS ALVES SILVA;50;PSOL;Partido Socialismo e Liberdade;ELEITO POR QP;83262
Vereador;250001973486;22555;SANDRA REGINA CARBONE TADEU MUDALEN;22;PL;Partido Liberal;ELEITO POR QP;74511
Vereador;250001881830;44000;SANDRA APARECIDA DE SOUZA ALVES;44;UNIÃO;União Brasil;ELEITO POR QP;74192
Vereador;250001881805;44111;SILVIO ANTONIO DE AZEVEDO;44;UNIÃO;União Brasil;ELEITO POR QP;63988
Vereador;250001973481;22678;ISAC FELIX DOS SANTOS;22;PL;Partido Liberal;ELEITO POR QP;62275
Vereador;250001973518;22522;ZOE MARIA FERNANDEZ MARTINEZ;22;PL;Partido Liberal;ELEITO POR QP;60272
Vereador;250002161318;55800;RODRIGO HAYASHI GOULART;55;PSD;Partido Social Democrático;ELEITO POR QP;58715
Vereador;250001933054;20123;DANILO ERRERIA CORTEZ DE SOUZA;20;PODE;Podemos;ELEITO POR QP;58676
Vereador;250001933051;20200;GABRIEL MARQUES DE OLIVEIRA MELO;20;PODE;Podemos;ELEITO POR QP;58581
Vereador;250002161322;55123;EDIR SALES;55;PSD;Partido Social Democrático;ELEITO POR QP;58190
Vereador;250001913934;13699;ALESSANDRO GUEDES DOS SANTOS;13;PT;Partido dos Trabalhadores;ELEITO POR QP;58183
Vereador;250002052111;50789;CELSO LUIS GIANNASI;50;PSOL;Partido Socialismo e Liberdade;ELEITO POR QP;57789
